,Lieu,Lat,Lon
314,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
315,Ἀνταίου?,26.8992835,31.517443
316,ἀπὸ Ἀφ̣ροδίτης τῆς κώμης,26.833145,31.416623
317,τῶν Ἑρμουπολιτῶν,27.7756214,30.8047827
318,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
319,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
320,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
321,Ἀνταίου,26.8992835,31.517443
322,Ἀνταίου,26.8992835,31.517443
323,Ἀνταίο̣υ,26.8992835,31.517443
324,ἐν κώμῃ λεγομένῃ Ἀφροδίτῃ,26.833145,31.416623
325,ἀπὸ τῆς  κώμης ἐπιλεγομένης Ἀφροδίτης̣,26.833145,31.416623
326,ἐν Ἀλεξανδρείᾳ,31.1982456667,29.9079146667
327,ὑ̣π̣ὲ̣ρ̣ κώμης Ἀφρ̣οδίτης,26.833145,31.416623
328,Ἀντα̣ιο̣υ̣πολιτ̣ῶν̣,26.8992835,31.517443
329,ὑπὲρ κώμ̣ης Ἀ̣φροδίτης,26.833145,31.416623
330,τῆς μεγαλεπόλεως sic Ἀλεξανδρίας,31.1982456667,29.9079146667
331,τῆς Ἀνταιουπολιτῶν,26.8992835,31.517443
332,κώμης Ἀφροδίτης,26.833145,31.416623
333,Ἀνταίου,26.8992835,31.517443
334,κώμης Ἀφροδίτης,26.833145,31.416623
335,κώμης Ἀφροδίτης,26.833145,31.416623
336,Ἀνταίο̣υ,26.8992835,31.517443
337,πόλεως Ἀνταίου,26.8992835,31.517443
338,κώμης Ἀφροδίτης,26.833145,31.416623
339,Ψιναβλα,26.653194,31.600403
340,Ἀφροδίτης,26.833145,31.416623
341,Ἀφροδίτης,26.833145,31.416623
342,Ἀφροδίτης,26.833145,31.416623
343,εἰς Ἀντινόου,27.8105625,30.8810025
344,Ἀνταίου,26.8992835,31.517443
345,Ἀφροδίτης,26.833145,31.416623
346,Ἀνταίου,26.8992835,31.517443
347,Ἀντινόου,27.8105625,30.8810025
348,ἀπ̣ὸ̣ κ̣ώμης Ἀφ̣ροδίτης,26.833145,31.416623
349,τῆς Ἀνταιοπολιτῶν,26.8992835,31.517443
350,Ἀνταίου,26.8992835,31.517443
351,Ἀντα̣ίου,26.8992835,31.517443
352,Τριπε,26.513615,31.6636135
353,Ἀφροδίτης,26.833145,31.416623
354,Ἀφροδίτης,26.833145,31.416623
355,ἀπ̣ὸ̣ Ἀντινόου,27.8105625,30.8810025
356,εἰς Ἀντινόου,27.8105625,30.8810025
357,ὑπὲρ κώμης Ἀφροδίτης,26.833145,31.416623
358,Ἀφροδίτης,26.833145,31.416623
359,Ἀνταίου,26.8992835,31.517443
360,ὑπὲρ κώμης Ἀφροδίτης,26.833145,31.416623
361,Antinooupoli,27.8105625,30.8810025
362,τῆς Ἀνταιοπολίτων,26.8992835,31.517443
363,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
364,τὴν Ἀφροδίτης κώμην,26.833145,31.416623
365,τῆς Ἀνταιοπολιτῶν,26.8992835,31.517443
366,εἰς τὴν Ἀλεξανδρέων μεγαλόπολιν,31.1982456667,29.9079146667
367,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
368,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
369,ἀπὸ κ̣ώμ̣ης Ἀφροδίτης,26.833145,31.416623
370,εἰς τὴν Ἀλεξανδρέων μεγαλόπολιν,31.1982456667,29.9079146667
371,εἰς τὴν μεγαλόπολιν Ἀλεξάνδρειαν,31.1982456667,29.9079146667
372,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
373,Φθλα,26.919206,31.40847
374,εἰς Ἀνταίου,26.8992835,31.517443
375,εἰς Ἀντινόου,27.8105625,30.8810025
376,εἰς  Τοετο,26.768177,31.498968
377,εἰς  Πανός,26.565878,31.746075
378,εἰς Τοετω,26.768177,31.498968
379,εἰς Τοε̣̣τ̣ω,26.768177,31.498968
380,ε̣ἰ̣ς Π̣ανός,26.565878,31.746075
381,εἰς Π̣ανός,26.565878,31.746075
382,Ἑρμοῦ πόλεως,27.7756214,30.8047827
383,ἐν Ἀ̣ν̣τινόου,27.8105625,30.8810025
384,Ἀνταίου,26.8992835,31.517443
385,ἀπὸ κώμης Ἀφρ̣οδίτης,26.833145,31.416623
386,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
387,ἀπὸ κώμης Ἀφροδίτης,26.833145,31.416623
388,τῆς Ἀνταιοπο̣λ̣ιτῶν,26.8992835,31.517443
389,κώμης Ἀφροδίτης,26.833145,31.416623
390,κώμης Ἀφροδίτης,26.833145,31.416623
391,κώμης Ἀφρ\\οτίτης sic,26.833145,31.416623
392,κώ̣μης Ἀφροδίτης̣,26.833145,31.416623
393,κώ̣μης Ἀφροδίτης,26.833145,31.416623
394,τῆς α̣ὐ̣τ̣ῆ̣ς̣ κώμης Ἀφρο̣δ̣ί̣της,26.833145,31.416623
395,τῆς̣ κώμης Ἀφροδίτης,26.833145,31.416623
396,τῆς αὐτῆς κώ̣μης Ἀφρ̣ο̣δ̣ί̣τ̣ης,26.833145,31.416623
397,τῆς αὐτῆς κώμη̣ς̣ Ἀφροδίτης,26.833145,31.416623
398,κώμης Ἀφροδίτης,26.833145,31.416623
399,τῆς αὐτῆς κώμ̣η̣ς̣ Ἀφροδίτης,26.833145,31.416623
400,κώμ̣η̣ς̣ Ἀ̣φροδίτης,26.833145,31.416623
401,κώμης Ἀφροδίτης̣,26.833145,31.416623
402,κώμη̣ς̣ Ἀφροδίτης,26.833145,31.416623
403,κωμ̣ῆς̣ Ἀφροδίτης,26.833145,31.416623
404,ἀπὸ τῆς αὐτῆς κώμης Ἀφροδίτης,26.833145,31.416623
405,τῆ̣ς κώμης Ἀφροδίτης,26.833145,31.416623
406,κώ̣μη̣ς̣ Ἀφροδ̣ίτης,26.833145,31.416623
407,κώμης Ἀφροδίτης,26.833145,31.416623
408,κώμης Ἀφροδ̣ίτης,26.833145,31.416623
409,ἀπὸ Ἀφροδίτης,26.833145,31.416623
410,κώμης Ἀφρο̣δ̣ίτης,26.833145,31.416623
411,ἀπὸ̣ Ἀφροδίτης,26.833145,31.416623
412,κ̣ώ̣μ̣ης Ἀ̣φ̣ροδί̣τ̣η̣ς̣,26.833145,31.416623
413,κ̣ώ̣μ̣ης Ἀφ̣ροδίτης̣,26.833145,31.416623
414,ἀπὸ κώμης Ἀφ̣ροδ̣ίτης,26.833145,31.416623
415,τῆς Ἀνταιοπολιτῶν,26.8992835,31.517443
416,κώμης Φ̣θ̣λα,26.919206,31.40847
417,κώμης Ἀφροδίτης,26.833145,31.416623
418,κώ̣μης Ἀφρ̣οδ̣ίτης,26.833145,31.416623
419,κώμη ἐπιλεγο̣μένη Ἀφροδίτη,26.833145,31.416623
